timestamp,longitude_m,latitude_m
187141,-23.395745,-1.692579
187341,-23.824358,-2.413905
187541,-24.285349,-2.912008
187741,-25.124074,-3.330783
187941,-25.625150,-3.956179
188142,-26.220275,-4.502247
188342,-26.638095,-5.208816
188542,-27.293349,-5.675556
188742,-27.965562,-6.271435
188942,-28.495932,-6.972469
189143,-29.245234,-7.361727
189343,-29.803356,-7.972364
189543,-30.255096,-8.669708
189743,-31.015190,-9.060811
189943,-31.388299,-9.752620
190144,-31.940254,-10.237809
190344,-32.651012,-10.713774
190544,-33.064207,-11.285670
190744,-33.554491,-11.861255
190944,-34.012398,-12.449755
191145,-34.522725,-12.864840
191345,-35.053095,-13.342650
191545,-35.406161,-13.960667
191745,-36.192466,-14.263218
191945,-36.411398,-14.866476
192146,-36.850803,-15.335061
192346,-37.547685,-15.648682
192546,-37.766616,-16.240871
192746,-38.446539,-16.661491
192946,-39.135711,-17.096870
193147,-39.602869,-17.709352
193347,-40.298209,-18.259109
193547,-40.751490,-18.901109
193747,-41.712015,-19.353091
193947,-42.322557,-20.028297
194149,-42.942350,-20.718262
194349,-43.946045,-21.197916
194549,-44.394701,-21.950605
194749,-45.140919,-22.596294
194949,-46.081401,-22.996621
195150,-46.550100,-23.758534
195350,-47.333321,-24.371016
195550,-48.017869,-24.883877
195750,-48.620702,-25.488980
198553,-57.229965,-31.152593
198753,-57.516735,-31.490196
198953,-58.178156,-31.602731
199154,-58.620645,-31.995678
199354,-58.699276,-32.416298
199554,-59.437785,-32.576798
199754,-59.642841,-32.975281
199954,-60.082246,-33.200349
200155,-60.575614,-33.477073
200355,-60.715915,-33.829435
200555,-61.139903,-34.148589
200755,-61.335708,-34.508330
200955,-61.731944,-34.705727
201156,-62.632340,-35.078381
201356,-62.809644,-35.443657
201556,-63.076371,-35.701932
201756,-63.221297,-36.183432
201956,-63.282968,-36.644638
202157,-63.595948,-36.926896
202357,-63.554320,-37.460051
202557,-63.628326,-37.838240
202757,-63.760918,-38.209050
202957,-63.586698,-38.771722
203158,-63.511151,-39.175738
203358,-63.372391,-39.655393
203558,-63.219756,-39.976392
203758,-63.000824,-40.456047
203958,-62.606130,-40.908029
204159,-62.376405,-41.088822
204359,-61.907706,-41.574011
204559,-61.388129,-41.906080
204759,-60.772961,-42.000166
204959,-60.049869,-42.393113
205160,-59.550335,-42.439234
205360,-59.211144,-42.452148
205560,-58.478802,-42.616337
224180,-21.790759,-20.299486
224380,-22.652611,-19.889935
224580,-23.090474,-19.755263
224780,-23.881404,-19.410280
224980,-24.713962,-19.126177
225181,-25.165701,-19.131712
225381,-25.953548,-18.831005
225581,-26.645804,-18.607781
225781,-27.455235,-18.336592
225981,-27.979438,-18.257265
226182,-28.463555,-18.117058
226382,-29.206690,-17.799748
226582,-29.573632,-17.729645
226782,-29.897404,-17.620800
226982,-30.578868,-17.214938
227183,-30.782382,-17.220473
227383,-31.409884,-16.951128
227583,-31.719781,-16.703922
227783,-32.069763,-16.536043
227983,-32.499918,-16.174457
228184,-32.953199,-15.820250
228384,-33.318600,-15.410699
228584,-33.542157,-15.086010
228784,-33.656248,-14.720735
228984,-34.103363,-14.095339
229185,-34.112613,-13.600926
229385,-34.266791,-12.981064
229585,-34.427135,-12.248669
229785,-34.117239,-11.798531
229985,-34.138823,-11.106722
230186,-33.912183,-10.416757
230386,-33.677833,-9.857775
230586,-33.354061,-9.265586
230786,-32.866860,-8.750880
230986,-32.865318,-8.095967
231187,-32.436705,-7.715933
231387,-31.924837,-7.258416
231587,-31.894001,-6.682831
231787,-31.305044,-6.356297
231987,-30.856387,-5.944901
232188,-30.427774,-5.587005
232388,-29.624510,-5.430195
232588,-29.300738,-5.177454
232788,-28.680945,-4.974523
232988,-27.920851,-4.856454
233190,-27.408982,-4.716247
233390,-26.809232,-4.542834
233590,-26.439206,-4.339903
233790,-25.834831,-4.234748
233990,-25.215038,-4.031817
234191,-24.968354,-3.670231
234391,-24.325435,-3.459921
234591,-23.923032,-3.063284
234791,-23.702558,-2.622371
234991,-22.974841,-2.358561
235192,-22.755909,-1.895509
235392,-22.358132,-1.434303
235592,-22.099114,-0.910373
235792,-21.761465,-0.539563
235992,-21.292766,-0.118943
236193,-21.218761,0.471401
236393,-20.720768,0.810849
236593,-20.306031,1.367986
236793,-20.261320,2.039503
236993,-19.766411,2.423227
237194,-19.417970,2.956381
237394,-19.205205,3.485846
237594,-18.620873,3.880638
237794,-18.344895,4.476517
237994,-17.950201,4.983844
238195,-17.629512,5.596326
238395,-17.273363,6.020636
238595,-16.715241,6.450480
238795,-16.557980,7.118307
238995,-15.999858,7.570289
239196,-15.517283,8.129271
239396,-15.353855,8.708546
239596,-14.772606,9.125477
239796,-14.407206,9.754562
239996,-13.987843,10.224993
240197,-13.455931,10.712026
240397,-13.135243,11.304215
240597,-12.697379,11.848439
240797,-12.333520,12.479369
240997,-11.907991,12.861248
241198,-11.266613,13.411006
241398,-10.998344,14.097281
241598,-10.417096,14.534504
241798,-9.960731,15.132228
241998,-9.663169,15.737330
242199,-9.038750,16.191157
242399,-8.588552,16.853450
242599,-8.169190,17.346018
242799,-7.570982,17.836742
242999,-7.159328,18.417862
243200,-6.743050,18.952861
243400,-6.285143,19.506308
243600,-5.563593,19.860515
243800,-5.008554,20.334635
244000,-4.606151,21.046738
244201,-3.901561,21.327151
244401,-3.255558,21.790202
244601,-2.743689,22.225581
247003,5.588055,25.302749
247204,6.138468,25.843283
247404,6.903188,25.896783
247604,7.584652,26.169817
247804,8.269199,26.420713
248004,8.776443,26.607041
250607,17.065017,29.287572
250807,17.496714,29.560606
251007,18.320021,29.748778
251208,18.825723,29.957244
251408,19.649030,30.147261
251608,19.285171,30.412915
251808,19.783164,30.700708
252008,20.484671,30.933156
252209,20.953370,31.222794
252409,21.488366,31.538259
252609,22.105075,31.868482
252809,22.627736,32.106465
253009,23.208985,32.488344
253211,23.685393,32.855464
253411,24.231181,33.082378
253611,24.877184,33.462412
253811,25.265711,33.884876
254011,26.027347,34.150531
254212,26.585469,34.632031
254412,27.057251,35.000996
254612,27.829680,35.381030
254812,28.341549,35.847771
255012,28.938215,36.201977
255213,29.530256,36.655804
255413,30.105338,37.013700
255613,30.722047,37.478596
255813,31.275544,37.996992
256013,31.910755,38.308767
256214,32.515130,38.832698
256414,32.931409,39.338180
256614,33.612873,39.716369
256814,34.149410,40.146213
257014,34.579565,40.594506
257215,35.330408,40.945023
257415,35.760563,41.395160
257615,36.317143,41.797332
257815,36.855222,42.264073
258015,37.399468,42.629348
258216,37.979175,43.055503
258416,38.461750,43.579433
258616,39.049166,43.835864
258816,39.567202,44.356105
259016,39.991190,44.937225
259217,40.615608,45.298810
259417,41.095099,45.807982
259617,41.479001,46.300550
259817,42.086460,46.711947
260017,42.589078,47.232187
260218,43.104030,47.706307
260418,43.523393,48.302186
260618,44.021386,48.709892
260818,44.553297,49.261495
261018,44.949533,49.877667
261219,45.563159,50.255856
261419,45.953228,50.807459
261619,46.280084,51.443923
261819,46.838206,51.831337
262019,47.200523,52.397698
262220,47.607551,52.899490
262420,48.039247,53.460317
262620,48.460152,54.013765
262820,50.741976,48.516186
276235,51.717919,91.258942
276435,51.667041,91.876959
276635,51.247678,92.290199
276835,51.243053,92.607509
277035,50.959366,93.026285
277236,50.808273,93.219991
277436,50.455207,93.657215
277636,50.156102,93.978214
277836,49.932545,94.214352
278036,49.696654,94.605455
278237,49.502390,94.760420
278437,49.246456,95.120161
278637,48.857929,95.431937
278837,48.660582,95.631178
279037,48.224260,95.968781
279238,48.168756,96.085005
279438,47.969868,96.306384
279638,47.593675,96.736228
279838,47.427163,96.834004
280038,47.114183,97.059073
280239,46.918378,97.236176
280439,46.569937,97.333952
280639,46.127448,97.487072
280839,46.033400,97.522124
281039,45.493779,97.752727
281240,45.264055,97.780399
281440,45.126837,97.798848
281640,44.525546,97.961192
281840,42.154298,97.859727
282040,41.950784,97.953813
282241,41.491335,98.132761
282441,41.335616,98.070037
282641,40.974841,98.092175
282841,40.792912,98.108778
283041,40.589398,98.129071
283242,40.211663,98.165968
283442,40.083696,98.154899
283642,39.732172,98.306175
283842,39.382189,98.265588
284042,39.200260,98.282192
284243,38.626720,98.426088
284443,38.372327,98.361519
284643,37.986884,98.507260
284843,37.550562,98.579209
285043,37.328547,98.588433
285244,36.930769,98.586588
285444,36.767341,98.569985
285644,36.568452,98.623484
285844,36.290933,98.662226
286044,36.270890,98.601347
286245,33.084044,96.902263
286445,32.804983,96.763901
286645,32.697059,96.701177
286845,32.593760,96.924400
287045,32.282322,96.647677
287246,32.169772,96.765745
287446,32.000177,96.861676
287646,31.815165,96.701177
287846,31.617818,96.682728
288046,31.400428,96.487177
288247,31.311005,96.533297
288447,30.970273,96.452125
288647,30.779093,96.254729
288847,30.695837,96.452125
289047,30.373606,96.101608
289248,30.211720,95.926350
289448,29.995872,96.005677
289648,29.739937,95.577678
289848,29.632013,95.572143
290048,29.451626,95.550006
290249,29.349869,95.249299
290449,29.090851,95.070351
290649,28.890420,94.767800
290849,28.827207,94.812075
291049,28.557397,94.470783
291251,28.341549,94.127645
291451,30.603331,95.548161
291651,28.105657,93.683042
291851,31.221582,95.485437
292051,30.789885,95.288040
292252,30.627999,94.861886
292452,30.467655,94.577783
292652,30.302685,94.275231
292852,30.187052,93.943163
293052,29.986621,93.745766
293253,29.920325,93.358353
293453,29.718353,93.225526
293653,29.584218,92.817819
293853,29.409998,92.437785
294053,29.169481,92.284665
294254,29.169481,91.810545
294454,29.064641,91.563338
294654,28.796372,91.354873
294854,28.842625,90.851236
295054,28.645278,90.624322
295255,28.478767,90.251667
295455,28.437139,89.805220
295655,28.168870,89.535875
295855,28.145744,89.034083
296055,27.928354,88.748135
296256,27.835847,88.189153
296456,27.774176,87.768533
296656,27.573746,87.471516
296856,27.604581,86.903310
297056,27.439611,86.573086
297257,27.277725,86.180138
297457,27.277725,85.650673
297657,27.165176,85.252191
297857,27.142049,84.707968
298057,27.091171,84.311330
298258,26.932368,83.861193
298458,26.998664,83.363090
298658,26.847570,82.973832
298858,26.904616,82.394557
299058,26.896907,81.938885
299259,26.738104,81.534868
299459,26.858363,80.931610
299659,26.751980,80.503611
299859,26.661016,80.016577
300059,26.802859,79.448371
300260,26.699560,78.957647
300460,26.846029,78.343320
300660,26.810568,77.848907
300860,26.704185,77.395080
301060,26.889198,76.745702
301261,26.804401,76.245754
301461,26.913867,75.518893
301661,26.949327,74.972825
301861,26.755064,74.528222
302061,26.964745,73.841947
302262,26.916950,73.284810
302462,26.773565,72.696310
302662,24.525659,70.469606
302862,24.476323,69.912469
303062,24.443945,69.145022
303263,24.567287,68.779746
303463,24.479406,68.150661
303663,24.556495,67.342627
303863,24.647459,66.942300
304063,24.655168,66.051250
304264,24.746133,65.490423
309869,29.830902,52.028733
310069,30.022082,51.689285
310270,29.992788,51.047286
310470,29.792358,50.776097
310670,29.926492,50.333338
310870,30.177801,49.831546
311070,30.005122,49.388788
318479,23.150397,30.674881
322883,7.368804,24.627543
